"","country","date","searches"
"392","Bolivia",2003-09-28,0.049
"393","Brazil",2003-09-28,0.016
"394","India",2003-09-28,0.292
"395","Indonesia",2003-09-28,0.054
"396","Mexico",2003-09-28,0.188
"397","Philippines",2003-09-28,0.123
"398","Singapore",2003-09-28,0.12
"399","Thailand",2003-09-28,NA
"400","Venezuela",2003-09-28,0.166
"401","Argentina",2003-10-05,0.019
"402","Bolivia",2003-10-05,0.035
"403","Brazil",2003-10-05,0.02
"404","India",2003-10-05,0.565
"405","Indonesia",2003-10-05,0.069
"406","Mexico",2003-10-05,0.182
"407","Philippines",2003-10-05,0.141
"408","Singapore",2003-10-05,0.108
"409","Thailand",2003-10-05,NA
"410","Venezuela",2003-10-05,0.16
"411","Argentina",2003-10-12,0.019
"412","Bolivia",2003-10-12,0.044
"413","Brazil",2003-10-12,0.041
"414","India",2003-10-12,0.928
"415","Indonesia",2003-10-12,0.075
"416","Mexico",2003-10-12,0.16
"417","Philippines",2003-10-12,0.123
"418","Singapore",2003-10-12,0.108
"419","Thailand",2003-10-12,NA
"420","Venezuela",2003-10-12,0.192
"421","Argentina",2003-10-19,0.022
"422","Bolivia",2003-10-19,0.054
"423","Brazil",2003-10-19,0.026
"424","India",2003-10-19,0.99
"425","Indonesia",2003-10-19,0.068
"426","Mexico",2003-10-19,0.157
"427","Philippines",2003-10-19,0.109
"428","Singapore",2003-10-19,0.119
"429","Thailand",2003-10-19,NA
"430","Venezuela",2003-10-19,0.231
"431","Argentina",2003-10-26,0.024
"432","Bolivia",2003-10-26,0.035
"433","Brazil",2003-10-26,0.034
"434","India",2003-10-26,0.91
"435","Indonesia",2003-10-26,0.076
"436","Mexico",2003-10-26,0.122
"437","Philippines",2003-10-26,0.103
"438","Singapore",2003-10-26,0.174
"439","Thailand",2003-10-26,NA
"440","Venezuela",2003-10-26,0.298
"441","Argentina",2003-11-02,0.029
"442","Bolivia",2003-11-02,0.032
"443","Brazil",2003-11-02,0.038
"444","India",2003-11-02,0.679
"445","Indonesia",2003-11-02,0.075
"446","Mexico",2003-11-02,0.159
"447","Philippines",2003-11-02,0.096
"448","Singapore",2003-11-02,0.195
"449","Thailand",2003-11-02,NA
"450","Venezuela",2003-11-02,0.302
"451","Argentina",2003-11-09,0.027
"452","Bolivia",2003-11-09,0.044
"453","Brazil",2003-11-09,0.038
"454","India",2003-11-09,0.509
"455","Indonesia",2003-11-09,0.06
"456","Mexico",2003-11-09,0.132
"457","Philippines",2003-11-09,0.09
"458","Singapore",2003-11-09,0.157
"459","Thailand",2003-11-09,NA
"460","Venezuela",2003-11-09,0.262
"461","Argentina",2003-11-16,0.027
"462","Bolivia",2003-11-16,0.031
"463","Brazil",2003-11-16,0.046
"464","India",2003-11-16,0.327
"465","Indonesia",2003-11-16,0.047
"466","Mexico",2003-11-16,0.088
"467","Philippines",2003-11-16,0.091
"468","Singapore",2003-11-16,0.126
"469","Thailand",2003-11-16,NA
"470","Venezuela",2003-11-16,0.238
"471","Argentina",2003-11-23,0.027
"472","Bolivia",2003-11-23,0.03
"473","Brazil",2003-11-23,0.068
"474","India",2003-11-23,0.245
"475","Indonesia",2003-11-23,0.055
"476","Mexico",2003-11-23,0.127
"477","Philippines",2003-11-23,0.088
"478","Singapore",2003-11-23,0.116
"479","Thailand",2003-11-23,NA
"480","Venezuela",2003-11-23,0.231
"481","Argentina",2003-11-30,0.027
"482","Bolivia",2003-11-30,0.024
"483","Brazil",2003-11-30,0.063
"484","India",2003-11-30,0.178
"485","Indonesia",2003-11-30,0.068
"486","Mexico",2003-11-30,0.079
"487","Philippines",2003-11-30,0.089
"488","Singapore",2003-11-30,0.129
"489","Thailand",2003-11-30,NA
"490","Venezuela",2003-11-30,0.252
"491","Argentina",2003-12-07,0.024
"492","Bolivia",2003-12-07,0.016
"493","Brazil",2003-12-07,0.06
"494","India",2003-12-07,0.133
"495","Indonesia",2003-12-07,0.058
"496","Mexico",2003-12-07,0.083
"497","Philippines",2003-12-07,0.091
"498","Singapore",2003-12-07,0.112
"499","Thailand",2003-12-07,NA
"500","Venezuela",2003-12-07,0.286
"501","Argentina",2003-12-14,0.022
"502","Bolivia",2003-12-14,0.012
"503","Brazil",2003-12-14,0.055
"504","India",2003-12-14,0.094
"505","Indonesia",2003-12-14,0.045
"506","Mexico",2003-12-14,0.066
"507","Philippines",2003-12-14,0.095
"508","Singapore",2003-12-14,0.109
"509","Thailand",2003-12-14,NA
"510","Venezuela",2003-12-14,0.36
"511","Argentina",2003-12-21,0.019
"512","Bolivia",2003-12-21,0.011
"513","Brazil",2003-12-21,0.053
"514","India",2003-12-21,0.1
"515","Indonesia",2003-12-21,0.055
"516","Mexico",2003-12-21,0.055
"517","Philippines",2003-12-21,0.098
"518","Singapore",2003-12-21,0.104
"519","Thailand",2003-12-21,NA
"520","Venezuela",2003-12-21,0.324
"521","Argentina",2003-12-28,0.019
"522","Bolivia",2003-12-28,0.01
"523","Brazil",2003-12-28,0.049
"524","India",2003-12-28,0.087
"525","Indonesia",2003-12-28,0.039
"526","Mexico",2003-12-28,0.042
"527","Philippines",2003-12-28,0.109
"528","Singapore",2003-12-28,0.117
"529","Thailand",2003-12-28,NA
"530","Venezuela",2003-12-28,0.321
"531","Argentina",2004-01-04,0.019
"532","Bolivia",2004-01-04,0.01
"533","Brazil",2004-01-04,0.085
"534","India",2004-01-04,0.07
"535","Indonesia",2004-01-04,0.065
"536","Mexico",2004-01-04,0.041
"537","Philippines",2004-01-04,0.105
"538","Singapore",2004-01-04,0.115
"539","Thailand",2004-01-04,NA
"540","Venezuela",2004-01-04,0.285
"541","Argentina",2004-01-11,0.017
"542","Bolivia",2004-01-11,0.018
"543","Brazil",2004-01-11,0.095
"544","India",2004-01-11,0.072
"545","Indonesia",2004-01-11,0.09
"546","Mexico",2004-01-11,0.036
"547","Philippines",2004-01-11,0.096
"548","Singapore",2004-01-11,0.109
"549","Thailand",2004-01-11,NA
"550","Venezuela",2004-01-11,0.256
"551","Argentina",2004-01-18,0.017
"552","Bolivia",2004-01-18,0.07
"553","Brazil",2004-01-18,0.072
"554","India",2004-01-18,0.062
"555","Indonesia",2004-01-18,0.039
"556","Mexico",2004-01-18,0.034
"557","Philippines",2004-01-18,0.097
"558","Singapore",2004-01-18,0.106
"559","Thailand",2004-01-18,NA
"560","Venezuela",2004-01-18,0.251
"561","Argentina",2004-01-25,0.019
"562","Bolivia",2004-01-25,0.091
"563","Brazil",2004-01-25,0.057
"564","India",2004-01-25,0.059
"565","Indonesia",2004-01-25,0.065
"566","Mexico",2004-01-25,0.033
"567","Philippines",2004-01-25,0.093
"568","Singapore",2004-01-25,0.108
"569","Thailand",2004-01-25,NA
"570","Venezuela",2004-01-25,0.284
"571","Argentina",2004-02-01,0.031
"572","Bolivia",2004-02-01,0.068
"573","Brazil",2004-02-01,0.069
"574","India",2004-02-01,0.043
"575","Indonesia",2004-02-01,0.058
"576","Mexico",2004-02-01,0.037
"577","Philippines",2004-02-01,0.088
