"","country","date","searches"
"308","Paraguay",2003-03-09,NA
"309","Peru",2003-03-09,312
"310","Poland",2003-03-09,NA
"311","Romania",2003-03-09,824
"312","Russia",2003-03-09,NA
"313","South.Africa",2003-03-09,NA
"314","Spain",2003-03-09,NA
"315","Sweden",2003-03-09,NA
"316","Switzerland",2003-03-09,NA
"317","Ukraine",2003-03-09,NA
"318","United.States",2003-03-09,NA
"319","Uruguay",2003-03-09,NA
"320","Argentina",2003-03-16,134
"321","Australia",2003-03-16,NA
"322","Austria",2003-03-16,NA
"323","Belgium",2003-03-16,NA
"324","Bolivia",2003-03-16,541
"325","Brazil",2003-03-16,213
"326","Bulgaria",2003-03-16,NA
"327","Canada",2003-03-16,NA
"328","Chile",2003-03-16,1
"329","France",2003-03-16,NA
"330","Germany",2003-03-16,NA
"331","Hungary",2003-03-16,NA
"332","Japan",2003-03-16,NA
"333","Mexico",2003-03-16,NA
"334","Netherlands",2003-03-16,NA
"335","New.Zealand",2003-03-16,NA
"336","Norway",2003-03-16,NA
"337","Paraguay",2003-03-16,NA
"338","Peru",2003-03-16,350
"339","Poland",2003-03-16,NA
"340","Romania",2003-03-16,819
"341","Russia",2003-03-16,NA
"342","South.Africa",2003-03-16,NA
"343","Spain",2003-03-16,NA
"344","Sweden",2003-03-16,NA
"345","Switzerland",2003-03-16,NA
"346","Ukraine",2003-03-16,NA
"347","United.States",2003-03-16,NA
"348","Uruguay",2003-03-16,105
"349","Argentina",2003-03-23,153
"350","Australia",2003-03-23,NA
"351","Austria",2003-03-23,NA
"352","Belgium",2003-03-23,NA
"353","Bolivia",2003-03-23,549
"354","Brazil",2003-03-23,228
"355","Bulgaria",2003-03-23,NA
"356","Canada",2003-03-23,NA
"357","Chile",2003-03-23,1
"358","France",2003-03-23,NA
"359","Germany",2003-03-23,NA
"360","Hungary",2003-03-23,NA
"361","Japan",2003-03-23,NA
"362","Mexico",2003-03-23,NA
"363","Netherlands",2003-03-23,NA
"364","New.Zealand",2003-03-23,NA
"365","Norway",2003-03-23,NA
"366","Paraguay",2003-03-23,NA
"367","Peru",2003-03-23,340
"368","Poland",2003-03-23,NA
"369","Romania",2003-03-23,821
"370","Russia",2003-03-23,NA
"371","South.Africa",2003-03-23,NA
"372","Spain",2003-03-23,NA
"373","Sweden",2003-03-23,NA
"374","Switzerland",2003-03-23,NA
"375","Ukraine",2003-03-23,NA
"376","United.States",2003-03-23,NA
"377","Uruguay",2003-03-23,102
"378","Argentina",2003-03-30,158
"379","Australia",2003-03-30,NA
"380","Austria",2003-03-30,NA
"381","Belgium",2003-03-30,NA
"382","Bolivia",2003-03-30,647
"383","Brazil",2003-03-30,262
"384","Bulgaria",2003-03-30,NA
"385","Canada",2003-03-30,NA
"386","Chile",2003-03-30,2
"387","France",2003-03-30,NA
"388","Germany",2003-03-30,NA
"389","Hungary",2003-03-30,NA
"390","Japan",2003-03-30,NA
"391","Mexico",2003-03-30,NA
"392","Netherlands",2003-03-30,NA
"393","New.Zealand",2003-03-30,NA
"394","Norway",2003-03-30,NA
"395","Paraguay",2003-03-30,NA
"396","Peru",2003-03-30,301
"397","Poland",2003-03-30,NA
"398","Romania",2003-03-30,753
"399","Russia",2003-03-30,NA
"400","South.Africa",2003-03-30,NA
"401","Spain",2003-03-30,NA
"402","Sweden",2003-03-30,NA
"403","Switzerland",2003-03-30,NA
"404","Ukraine",2003-03-30,NA
"405","United.States",2003-03-30,NA
"406","Uruguay",2003-03-30,104
"407","Argentina",2003-04-06,187
"408","Australia",2003-04-06,NA
"409","Austria",2003-04-06,NA
"410","Belgium",2003-04-06,NA
"411","Bolivia",2003-04-06,636
"412","Brazil",2003-04-06,308
"413","Bulgaria",2003-04-06,NA
"414","Canada",2003-04-06,NA
"415","Chile",2003-04-06,1
"416","France",2003-04-06,NA
"417","Germany",2003-04-06,NA
"418","Hungary",2003-04-06,NA
"419","Japan",2003-04-06,NA
"420","Mexico",2003-04-06,NA
"421","Netherlands",2003-04-06,NA
"422","New.Zealand",2003-04-06,NA
"423","Norway",2003-04-06,NA
"424","Paraguay",2003-04-06,NA
"425","Peru",2003-04-06,401
"426","Poland",2003-04-06,NA
"427","Romania",2003-04-06,777
"428","Russia",2003-04-06,NA
"429","South.Africa",2003-04-06,NA
"430","Spain",2003-04-06,NA
"431","Sweden",2003-04-06,NA
"432","Switzerland",2003-04-06,NA
"433","Ukraine",2003-04-06,NA
"434","United.States",2003-04-06,NA
"435","Uruguay",2003-04-06,110
"436","Argentina",2003-04-13,193
"437","Australia",2003-04-13,NA
"438","Austria",2003-04-13,NA
"439","Belgium",2003-04-13,NA
"440","Bolivia",2003-04-13,580
"441","Brazil",2003-04-13,259
"442","Bulgaria",2003-04-13,NA
"443","Canada",2003-04-13,NA
"444","Chile",2003-04-13,1
"445","France",2003-04-13,NA
"446","Germany",2003-04-13,NA
"447","Hungary",2003-04-13,NA
"448","Japan",2003-04-13,NA
"449","Mexico",2003-04-13,NA
"450","Netherlands",2003-04-13,NA
"451","New.Zealand",2003-04-13,NA
"452","Norway",2003-04-13,NA
"453","Paraguay",2003-04-13,NA
"454","Peru",2003-04-13,508
"455","Poland",2003-04-13,NA
"456","Romania",2003-04-13,757
"457","Russia",2003-04-13,NA
"458","South.Africa",2003-04-13,NA
"459","Spain",2003-04-13,NA
"460","Sweden",2003-04-13,NA
"461","Switzerland",2003-04-13,NA
"462","Ukraine",2003-04-13,NA
"463","United.States",2003-04-13,NA
"464","Uruguay",2003-04-13,111
"465","Argentina",2003-04-20,186
"466","Australia",2003-04-20,NA
"467","Austria",2003-04-20,NA
"468","Belgium",2003-04-20,NA
"469","Bolivia",2003-04-20,537
"470","Brazil",2003-04-20,287
"471","Bulgaria",2003-04-20,NA
"472","Canada",2003-04-20,NA
"473","Chile",2003-04-20,1
"474","France",2003-04-20,NA
"475","Germany",2003-04-20,NA
"476","Hungary",2003-04-20,NA
"477","Japan",2003-04-20,NA
"478","Mexico",2003-04-20,NA
"479","Netherlands",2003-04-20,NA
"480","New.Zealand",2003-04-20,NA
"481","Norway",2003-04-20,NA
"482","Paraguay",2003-04-20,NA
"483","Peru",2003-04-20,527
"484","Poland",2003-04-20,NA
"485","Romania",2003-04-20,726
"486","Russia",2003-04-20,NA
"487","South.Africa",2003-04-20,NA
"488","Spain",2003-04-20,NA
"489","Sweden",2003-04-20,NA
"490","Switzerland",2003-04-20,NA
"491","Ukraine",2003-04-20,NA
"492","United.States",2003-04-20,NA
"493","Uruguay",2003-04-20,106
"494","Argentina",2003-04-27,209
"495","Australia",2003-04-27,NA
"496","Austria",2003-04-27,NA
"497","Belgium",2003-04-27,NA
"498","Bolivia",2003-04-27,525
"499","Brazil",2003-04-27,299
"500","Bulgaria",2003-04-27,NA
"501","Canada",2003-04-27,NA
